hypothesis_id,required_feature,status
H001,OHLCV,AVAILABLE
H002,OHLCV,AVAILABLE
H002b,OHLCV,AVAILABLE
H003,OHLCV,AVAILABLE
H004,OHLCV,AVAILABLE
H005,OHLCV,AVAILABLE
H006,OHLCV,AVAILABLE
H006,Volume,AVAILABLE
H007,DXY,AVAILABLE
H007,VIX,AVAILABLE
H007,SPY/SP500,AVAILABLE
H007,GLD/Gold,AVAILABLE
H007,Yields(10Y/2Y),AVAILABLE
H008,OHLCV,AVAILABLE
H008b,OHLCV,AVAILABLE
H008c,OHLCV,AVAILABLE
H009,OHLCV,AVAILABLE
H010,OHLCV,AVAILABLE
H011,OHLCV,AVAILABLE
H012,COT Positioning,AVAILABLE_SHALLOW
H012,Retail Sentiment(internal),AVAILABLE_INTERNAL
H013,Internal engine outputs,AVAILABLE_INTERNAL
H014,Internal engine outputs,AVAILABLE_INTERNAL
H015,OHLCV,AVAILABLE
H016,Internal engine outputs,AVAILABLE_INTERNAL
H017,OHLCV,AVAILABLE
H018,OHLCV,AVAILABLE
H018,Swing/OB structure(derived),AVAILABLE_DERIVED
H019,Funding Rate,AVAILABLE
H019,Open Interest,MISSING_COMMERCIAL_ONLY
H019,Fear & Greed,AVAILABLE
H020,OHLCV,AVAILABLE
H021,News Sentiment,AVAILABLE_SHALLOW
H022,OHLCV,AVAILABLE
H023,OHLCV,AVAILABLE
H023,Volume,AVAILABLE
H024,OHLCV,AVAILABLE
H024,Regime(derived),AVAILABLE_DERIVED
H025,OHLCV(price-only),UNKNOWN
H033,Internal decision-time features,AVAILABLE_INTERNAL
H037,OHLCV,AVAILABLE
H101,OHLCV,AVAILABLE
H102,OHLCV,AVAILABLE
H103,OHLCV,AVAILABLE
H103,Internal confluence features,AVAILABLE_INTERNAL
H104,Tick Trades,AVAILABLE_FORWARD_ONLY
H104,CVD/Order Flow,AVAILABLE_FORWARD_ONLY
H105,TCA/Execution Fills,AVAILABLE_INTERNAL
